NAME,R,A,PER,ORBREF,ORBURL,FIRSTREF,FIRSTURL,DISCMETH,STAR,RSTAR,NCOMP,TEFF,JSNAME,EPEURL
BD -10 3166 b,0,0.0437823348,3.48777,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B,RV,BD -10 3166,0.7452538013,1,5393.0297851562,BD-10 3166,http://exoplanet.eu/star.php?st=BD-10+3166
GJ 3634 b,,0.0286880732,2.64561,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B,RV,GJ 3634,0.4300000072,1,,GJ 3634,http://exoplanet.eu/star.php?st=GJ+3634
HD 95089 b,,1.4496803284,507,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,RV,HD 95089,5.1828346252,1,4894,HD 95089,http://exoplanet.eu/star.php?st=HD+95089
47 UMa b,0,2.1014900208,1078,Gregory 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G,Butler 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.153B,RV,47 UMa,1.1186853647,2,5882.3100585938,47 UMa,http://exoplanet.eu/star.php?st=47+UMa
47 UMa c,0,3.5719735622,2391,Gregory 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G,Fischer 2002,http://adsabs.harvard.edu/abs/2002ApJ...564.1028F,RV,47 UMa,1.1186853647,2,5882.3100585938,47 UMa,http://exoplanet.eu/star.php?st=47+UMa
WASP-34 b,13.674956812322037,0.0520746857,4.3176782,Smalley 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.130S,Smalley 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.130S,Transit,WASP-34,0.9300000072,1,5700,WASP-34,http://exoplanet.eu/star.php?st=WASP-34
HD 96063 b,,0.9992699623,361.1,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 96063,2.8622910976,1,5148,HD 96063,http://exoplanet.eu/star.php?st=HD+96063
HD 96167 b,0,1.3472394943,498.9,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,RV,HD 96167,1.9828397036,1,5770,HD 96167,http://exoplanet.eu/star.php?st=HD+96167
HD 96127 b,,1.4211215973,647.3,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,RV,HD 96127,23.2289333344,1,4152,HD 96127,http://exoplanet.eu/star.php?st=HD+96127
OGLE2-TR-L9 b,18.0464591370997,0.0413278528,2.4855335,Snellen 2009,http://adsabs.harvard.edu/abs/2009A%26A...497..545S,Snellen 2009,http://adsabs.harvard.edu/abs/2009A%26A...497..545S,Transit,OGLE2-TR-L9,1.5299999714,1,6933,OGLE2-TR-L9,http://exoplanet.eu/star.php?st=OGLE2-TR-L9
OGLE-TR-182 b,12.666148172157602,0.0513517372,3.9791,Pont 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..749P,Pont 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..749P,Transit,OGLE-TR-182,1.1399999857,1,5924,OGLE-TR-182,http://exoplanet.eu/star.php?st=OGLE-TR-182
HD 97658 b,,0.0807746649,9.494,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...10H,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...10H,RV,HD 97658,0.6800000072,1,5170,HD 97658,http://exoplanet.eu/star.php?st=HD+97658
WASP-31 b,17.22820272100199,0.0466223061,3.405909,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,Transit,WASP-31,1.2519999743,1,6302,WASP-31,http://exoplanet.eu/star.php?st=WASP-31
HD 98219 b,,1.2303739786,436.9,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 98219,3.3249678612,1,4992,HD 98219,http://exoplanet.eu/star.php?st=HD+98219
HD 99109 b,0,1.1080619097,439.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,RV,HD 99109,0.973205328,1,5272.3901367188,HD 99109,http://exoplanet.eu/star.php?st=HD+99109
HAT-P-21 b,11.477996813237672,0.049495142,4.124481,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Transit,HAT-P-21,1.1050000191,1,5588,HAT-P-21,http://exoplanet.eu/star.php?st=HAT-P-21
HD 99492 b,0,0.1219076589,17.0431,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,RV,HD 99492,0.6307935119,1,4954.919921875,HD 99492,http://exoplanet.eu/star.php?st=HD+99492
HD 99706 b,,2.1342329979,868,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 99706,5.2634081841,1,4932,HD 99706,http://exoplanet.eu/star.php?st=HD+99706
HD 100655 b,,0.7645786405,157.57,Omiya 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...34O,Omiya 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...34O,RV,HD 100655,9.3000001907,1,4861,HD 100655,http://exoplanet.eu/star.php?st=HD+100655
GJ 433 b,,0.0580371171,7.3709,Delfosse 2012,http://arxiv.org/abs/1202.2467,Delfosse 2012,http://arxiv.org/abs/1202.2467,RV,GJ 433,,1,3600,GJ 433,http://exoplanet.eu/star.php?st=GJ+433
HD 100777 b,0,1.0337811708,383.70001,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,RV,HD 100777,1.0788131952,1,5582,HD 100777,http://exoplanet.eu/star.php?st=HD+100777
HIP 57050 b,,0.1635057479,41.397,Haghighipour 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..271H,Haghighipour 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..271H,RV,HIP 57050,,1,3190,HIP 57050,http://exoplanet.eu/star.php?st=HIP+57050
GJ 436 b,4.222423197149433,0.0287187845,2.64385,Maness 2007,http://adsabs.harvard.edu/abs/2007PASP..119...90M,Butler 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..580B,RV,GJ 436,0.4639999866,1,3350,GJ 436,http://exoplanet.eu/star.php?st=GJ+436
HD 101930 b,0,0.3020192981,70.459999,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,RV,HD 101930,1.1985881329,1,5079,HD 101930,http://exoplanet.eu/star.php?st=HD+101930
HIP 57274 b,,0.0712798163,8.1352,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,RV,HIP 57274,0.6800000072,3,4640,HIP 57274,http://exoplanet.eu/star.php?st=HIP+57274
HIP 57274 c,,0.1777582318,32.03,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,RV,HIP 57274,0.6800000072,3,4640,HIP 57274,http://exoplanet.eu/star.php?st=HIP+57274
HIP 57274 d,,1.0067821741,431.7,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,RV,HIP 57274,0.6187758446,3,4640,HIP 57274,http://exoplanet.eu/star.php?st=HIP+57274
HD 102117 b,0,0.1520774961,20.8133,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T,RV,HD 102117,1.1333398819,1,5695.1801757812,HD 102117,http://exoplanet.eu/star.php?st=HD+102117
HD 102195 b,0,0.0479746535,4.113775,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Ge 2006,http://adsabs.harvard.edu/abs/2006ApJ...648..683G,RV,HD 102195,0.9379938841,1,5291,HD 102195,http://exoplanet.eu/star.php?st=HD+102195
HD 102272 b,0,0.6149061918,127.58,Niedzielski 2008,http://adsabs.harvard.edu/abs/2009ApJ...693..276N,Niedzielski 2008,http://adsabs.harvard.edu/abs/2009ApJ...693..276N,RV,HD 102272,6.1499586105,1,4908,HD 102272,http://exoplanet.eu/star.php?st=HD+102272
HD 102365 b,,0.4633276463,122.1,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..103T,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..103T,RV,HD 102365,0.828702271,1,5630,,
HD 102329 b,,2.070412159,778.1,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 102329,7.1201691628,1,4830,HD 102329,http://exoplanet.eu/star.php?st=HD+102329
HD 102956 b,,0.0810024887,6.4948,Johnson 2010,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J,Johnson 2010,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J,RV,HD 102956,3.4290904999,1,5054,HD 102956,http://exoplanet.eu/star.php?st=HD+102956
HD 103197 b,,0.2490175068,47.84,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,RV,HD 103197,1.0156130791,1,5303,HD 103197,http://exoplanet.eu/star.php?st=HD+103197
HD 104067 b,,0.2643332183,55.806,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,RV,HD 104067,0.8584253788,1,4969,HD 104067,http://exoplanet.eu/star.php?st=HD+104067
HD 104985 b,0,0.7825528979,199.505,Sato 2008,http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S,Sato 2003,http://adsabs.harvard.edu/abs/2003ApJ...597L.157S,RV,HD 104985,,1,4786,HD 104985,http://exoplanet.eu/star.php?st=HD+104985
HD 106252 b,0,2.6114695072,1531,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,RV,HD 106252,1.1225693226,1,5869.8798828125,HD 106252,http://exoplanet.eu/star.php?st=HD+106252
HD 106270 b,,4.3673028946,2890,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 106270,2.0668954849,1,5638,HD 106270,http://exoplanet.eu/star.php?st=HD+106270
HD 107148 b,0,0.2700127065,48.056,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,RV,HD 107148,1.041607976,1,5797.240234375,HD 107148,http://exoplanet.eu/star.php?st=HD+107148
11 Com b,,1.2938700914,326.03,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L,RV,11 Com,18.3861560822,1,4742,,
NGC 4349 127 b,,2.380838871,677.8,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,RV,NGC 4349 127,,1,,NGC 4349 No 127,http://exoplanet.eu/star.php?st=NGC+4349+No+127
HD 108147 b,0,0.1014067978,10.8985,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Pepe 2002,http://adsabs.harvard.edu/abs/2002A%26A...388..632P,RV,HD 108147,1.2970271111,1,6156.240234375,HD 108147,http://exoplanet.eu/star.php?st=HD+108147
HD 108863 b,,1.3976073265,443.4,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 108863,5.3163123131,1,4956,HD 108863,http://exoplanet.eu/star.php?st=HD+108863
HD 108874 b,0,1.0352680683,394.48124,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,RV,HD 108874,1.1211534739,2,5550.9501953125,HD 108874,http://exoplanet.eu/star.php?st=HD+108874
HD 108874 c,0,2.7202124596,1680.3835,Wright 2009,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,RV,HD 108874,1.1211534739,2,5550.9501953125,HD 108874,http://exoplanet.eu/star.php?st=HD+108874
HD 109246 b,,0.3280740976,68.27,Boisse 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..88B,Boisse 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..88B,RV,HD 109246,1.0089224577,1,5844,HD 109246,http://exoplanet.eu/star.php?st=HD+109246
HAT-P-36 b,14.168152296269168,0.0238228831,1.327347,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Transit,HAT-P-36,1.0959999561,1,5560,,
HD 109749 b,0,0.0629197806,5.24,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,RV,HD 109749,1.1073322296,1,5903,HD 109749,http://exoplanet.eu/star.php?st=HD+109749
WASP-41 b,13.450777411794796,0.0404958874,3.052401,Maxted 2011,http://adsabs.harvard.edu/abs/2011PASP..123..547M,Maxted 2011,http://adsabs.harvard.edu/abs/2011PASP..123..547M,Transit,WASP-41,0.8999999762,1,5450,WASP-41,http://exoplanet.eu/star.php?st=WASP-41
HD 111232 b,0,1.9748885632,1143,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,RV,HD 111232,0.8749983907,1,5494,HD 111232,http://exoplanet.eu/star.php?st=HD+111232
WASP-42 b,11.915146111222715,0.066215232,4.9816877,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,Transit,WASP-42,0.8500000238,1,5200,WASP-42,http://exoplanet.eu/star.php?st=WASP-42
WASP-25 b,13.674956812322037,0.0473714024,3.764825,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Transit,WASP-25,0.9200000167,1,5750,WASP-25,http://exoplanet.eu/star.php?st=WASP-25
HD 114386 b,0,1.726853013,937.70001,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,RV,HD 114386,0.6372124553,1,4819.6401367188,HD 114386,http://exoplanet.eu/star.php?st=HD+114386
HD 114762 b,0,0.362932235,83.9151,Kane 2011,http://adsabs.harvard.edu/abs/2011ApJ...735L..41K,Latham 1989,http://adsabs.harvard.edu/abs/1989Natur.339...38L,RV,HD 114762,0.8592054248,1,5952.509765625,HD 114762,http://exoplanet.eu/star.php?st=HD+114762
HD 114783 b,0,1.1598732471,493.7,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,RV,HD 114783,0.8377845287,1,5135.08984375,HD 114783,http://exoplanet.eu/star.php?st=HD+114783
HD 114729 b,0,2.1023461819,1114,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,RV,HD 114729,1.4637703896,1,5820.9399414062,HD 114729,http://exoplanet.eu/star.php?st=HD+114729
61 Vir d,,0.4745270014,123.01,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,RV,61 Vir,0.9785473347,3,5571,61 Vir,http://exoplanet.eu/star.php?st=61+Vir
61 Vir c,,0.2169255614,38.021,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,RV,61 Vir,0.9785473347,3,5571,61 Vir,http://exoplanet.eu/star.php?st=61+Vir
61 Vir b,,0.050060004,4.215,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,RV,61 Vir,0.9785473347,3,5571,61 Vir,http://exoplanet.eu/star.php?st=61+Vir
HD 116029 b,,1.7460731268,670,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 116029,3.9123342037,1,4951,HD 116029,http://exoplanet.eu/star.php?st=HD+116029
70 Vir b,0,0.4836013913,116.6884,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.147M,RV,70 Vir,1.5977473259,1,5544.6000976562,70 Vir,http://exoplanet.eu/star.php?st=70+Vir
HD 117207 b,0,3.7375266552,2597,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,RV,HD 117207,0.9518716335,1,5723.6899414062,HD 117207,http://exoplanet.eu/star.php?st=HD+117207
HD 117618 b,0,0.174852252,25.827,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T,RV,HD 117618,1.1653678417,1,5963.6298828125,HD 117618,http://exoplanet.eu/star.php?st=HD+117618
HD 118203 b,0,0.0702997223,6.1335,Da Silva 2006,http://adsabs.harvard.edu/abs/2006A%26A...446..717D,Da Silva 2006,http://adsabs.harvard.edu/abs/2006A%26A...446..717D,RV,HD 118203,2.1497478485,1,5600,HD 118203,http://exoplanet.eu/star.php?st=HD+118203
HAT-P-3 b,10.076873553815085,0.0388251767,2.899703,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2007,http://adsabs.harvard.edu/abs/2007ApJ...666L.121T,Transit,HAT-P-3,0.8330000043,1,5185,HAT-P-3,http://exoplanet.eu/star.php?st=HAT-P-3
tau Boo b,0,0.0480038859,3.312433,Brogi 2012,http://adsabs.harvard.edu/abs/2012Natur.486..502B,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,RV,tau Boo,1.4184664488,1,6387.490234375,tau Boo,http://exoplanet.eu/star.php?st=tau+Boo
Qatar-2 b,12.823074554753422,0.0215076637,1.3371182,Bryan 2012,http://adsabs.harvard.edu/abs/2012ApJ...750...84B,Bryan 2012,http://adsabs.harvard.edu/abs/2012ApJ...750...84B,Transit,Qatar-2,0.7129999995,1,4645,Qatar-2,http://exoplanet.eu/star.php?st=Qatar-2
WASP-15 b,15.457183850701933,0.0499436371,3.7521,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,West 2009,http://adsabs.harvard.edu/abs/2009AJ....137.4834W,Transit,WASP-15,1.4769999981,1,6300,WASP-15,http://exoplanet.eu/star.php?st=WASP-15
HD 121504 b,0,0.3286875486,63.330002,Mayor 2004,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,Mayor 2004,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,RV,HD 121504,0.8442667723,1,6075,HD 121504,http://exoplanet.eu/star.php?st=HD+121504
HAT-P-12 b,10.74941242457296,0.0383736603,3.2130598,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H,Transit,HAT-P-12,0.7009999752,1,4650,HAT-P-12,http://exoplanet.eu/star.php?st=HAT-P-12
HAT-P-26 b,6.333074086078801,0.047868412,4.234516,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Transit,HAT-P-26,0.7879999876,1,5079,HAT-P-26,http://exoplanet.eu/star.php?st=HAT-P-26
WASP-16 b,11.298652758371679,0.041785825,3.1186009,Lister 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..752L,Lister 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..752L,Transit,WASP-16,0.94599998,1,5700,WASP-16,http://exoplanet.eu/star.php?st=WASP-16
HD 125612 c,0,0.0522124358,4.15474,Lo Curto 2010 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,RV,HD 125612,1.0426037312,2,5897,HD 125612,http://exoplanet.eu/star.php?st=HD+125612
HD 125612 b,0,1.3727974892,559.40487,Lo Curto 2010 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,RV,HD 125612,1.0426037312,2,5897,HD 125612,http://exoplanet.eu/star.php?st=HD+125612
HD 125595 b,,0.0809437186,9.6737,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,RV,HD 125595,1.0333582163,1,4908,HD 125595,http://exoplanet.eu/star.php?st=HD+125595
HD 126614 A b,0,2.3684732914,1244,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,RV,HD 126614 A,1.1097779274,1,5585,HD+126614+A,http://exoplanet.eu/star.php?st=HD+126614+A
WASP-39 b,14.235405314200591,0.0485834964,4.055259,Faedi 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..40F,Faedi 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..40F,Transit,WASP-39,0.8949999809,1,5400,WASP-39,http://exoplanet.eu/star.php?st=WASP-39
WASP-14 b,14.358704519215001,0.0367693007,2.243752,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Transit,WASP-14,1.3099999428,1,6475,WASP-14,http://exoplanet.eu/star.php?st=WASP-14
HD 128311 b,0,1.086486578,454.2,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,RV,HD 128311,0.5832199454,2,4965.419921875,HD 128311,http://exoplanet.eu/star.php?st=HD+128311
HD 128311 c,0,1.7453253269,923.8,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,RV,HD 128311,0.5832199454,2,4965.419921875,HD 128311,http://exoplanet.eu/star.php?st=HD+128311
HD 130322 b,0,0.0896052271,10.7085,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,RV,HD 130322,0.9865731001,1,5308.1098632812,HD 130322,http://exoplanet.eu/star.php?st=HD+130322
WASP-37 b,13.002417273508913,0.0446312092,3.577469,Simpson 2011,http://adsabs.harvard.edu/abs/2011AJ....141....8S,Simpson 2011,http://adsabs.harvard.edu/abs/2011AJ....141....8S,Transit,WASP-37,1.003000021,1,5800,WASP-37,http://exoplanet.eu/star.php?st=WASP-37
HAT-P-27 b,11.634921859722988,0.039963074,3.0395589,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Transit,HAT-P-27,0.8640000224,1,5246,HAT-P-27/WASP-40,http://exoplanet.eu/star.php?st=HAT-P-27/WASP-40
HD 131496 b,,2.1121001244,883,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 131496,4.5640664101,1,4927,HD 131496,http://exoplanet.eu/star.php?st=HD+131496
HD 132406 b,0,1.9822731018,974,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,RV,HD 132406,,1,5885,HD 132406,http://exoplanet.eu/star.php?st=HD+132406
HD 132563 B b,,2.6243145466,1544,Desidera 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..90D,Desidera 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..90D,RV,HD 132563 B,,1,5985,HD 132563 B,http://exoplanet.eu/star.php?st=HD+132563+B
HD 131664 b,0,3.1709783077,1951,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,RV,HD 131664,1.0621701479,1,5886,HD 131664,http://exoplanet.eu/star.php?st=HD+131664
WASP-24 b,14.571674415551904,0.036515519,2.3412127,Simpson 2011,http://adsabs.harvard.edu/abs/2011MNRAS.tmp..600S,Street 2010,http://adsabs.harvard.edu/abs/2010ApJ...720..337S,Transit,WASP-24,1.3309999704,1,6075,WASP-24,http://exoplanet.eu/star.php?st=WASP-24
HD 134987 b,0,0.8079291582,258.18,Jones 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,RV,HD 134987,1.1657156944,2,5749.6801757812,HD 134987,http://exoplanet.eu/star.php?st=HD+134987
HD 134987 c,0,5.8251290321,5000,Jones 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,RV,HD 134987,1.1657156944,2,5749.6801757812,HD 134987,http://exoplanet.eu/star.php?st=HD+134987
11 UMi b,0,1.5349794626,516.22,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,RV,11 UMi,44.6500053406,1,4340,11 UMi,http://exoplanet.eu/star.php?st=11+UMi
HD 136118 b,0,2.3332774639,1187.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,RV,HD 136118,1.7508163452,1,6097.41015625,HD 136118,http://exoplanet.eu/star.php?st=HD+136118
HD 136418 b,,1.2911098003,464.3,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,RV,HD 136418,3.833573103,1,4972,HD 136418,http://exoplanet.eu/star.php?st=HD+136418
