NAME,R,A,PER,ORBREF,ORBURL,FIRSTREF,FIRSTURL,DISCMETH,STAR,RSTAR,NCOMP,TEFF,JSNAME,EPEURL
beta Gem b,0,1.7345761061,589.64001,Hatzes 2006,http://adsabs.harvard.edu/abs/2006A%26A...457..335H,Hatzes 1993,http://adsabs.harvard.edu/abs/1993ApJ...413..339H,RV,beta Gem,11.0072612762,1,4666,HD 62509,http://exoplanet.eu/star.php?st=HD+62509
XO-5 b,11.545249832289993,0.0508650579,4.1877537,Burke 2008,http://adsabs.harvard.edu/abs/2008ApJ...686.1331B,Burke 2008,http://adsabs.harvard.edu/abs/2008ApJ...686.1331B,Transit,XO-5,1.0499999523,1,5510,XO-5,http://exoplanet.eu/star.php?st=XO-5
HD 63765 b,,0.9403800368,358,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,RV,HD 63765,0.9751024842,1,5432,HD 63765,http://exoplanet.eu/star.php?st=HD+63765
XO-2 b,11.0184278388167,0.0368366726,2.615838,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,Transit,XO-2,0.9710000157,1,5340,XO-2,http://exoplanet.eu/star.php?st=XO-2
HD 65216 b,0,1.3742716312,613.09998,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,RV,HD 65216,0.8853599429,1,5666,HD 65216,http://exoplanet.eu/star.php?st=HD+65216
HD 66428 b,0,3.1425874233,1973,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,RV,HD 66428,0.9796249866,1,5752.0297851562,HD 66428,http://exoplanet.eu/star.php?st=HD+66428
HAT-P-35 b,14.93036252640479,0.0497734249,3.646706,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Transit,HAT-P-35,1.4349999428,1,6096,,
HAT-P-30 b,15.020034553837787,0.0419042259,2.810595,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,Transit,HAT-P-30,1.2150000334,1,6304,HAT-P-30,http://exoplanet.eu/star.php?st=HAT-P-30
HD 68988 b,0,0.0692770779,6.27711,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,RV,HD 68988,1.1096229553,1,5960.4799804688,HD 68988,http://exoplanet.eu/star.php?st=HD+68988
HD 69830 c,0,0.1850715727,31.559999,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,RV,HD 69830,0.9216339588,3,5360,HD 69830,http://exoplanet.eu/star.php?st=HD+69830
